country,variable,percentile,year,value
AG,wwealg999i,p0p100,2019,-0.381914675235748
AG,wwealg999i,p0p100,2020,-0.397980183362961
AG,wwealg999i,p0p100,2021,-0.415029764175415
AI,wwealg999i,p0p100,1995,1.8493777513504
AI,wwealg999i,p0p100,1996,1.82452762126923
AI,wwealg999i,p0p100,1997,1.79372465610504
AI,wwealg999i,p0p100,1998,1.80461227893829
AI,wwealg999i,p0p100,1999,1.76563763618469
AI,wwealg999i,p0p100,2000,1.67064118385315
AI,wwealg999i,p0p100,2001,1.64253199100494
AI,wwealg999i,p0p100,2002,1.64580690860748
AI,wwealg999i,p0p100,2003,1.65626788139343
AI,wwealg999i,p0p100,2004,1.70498836040497
AI,wwealg999i,p0p100,2005,1.73960769176483
AI,wwealg999i,p0p100,2006,1.77771031856537
AI,wwealg999i,p0p100,2007,1.79134619235992
AI,wwealg999i,p0p100,2008,1.68803977966309
AI,wwealg999i,p0p100,2009,1.43882143497467
AI,wwealg999i,p0p100,2010,1.37736880779266
AI,wwealg999i,p0p100,2011,1.42351388931274
AI,wwealg999i,p0p100,2012,1.36185693740845
AI,wwealg999i,p0p100,2013,1.19905078411102
AI,wwealg999i,p0p100,2014,1.14805829524994
AI,wwealg999i,p0p100,2015,1.19852483272552
AI,wwealg999i,p0p100,2016,1.67122411727905
AI,wwealg999i,p0p100,2017,2.01580166816711
AI,wwealg999i,p0p100,2018,2.00134348869324
AI,wwealg999i,p0p100,2019,1.97374272346497
AI,wwealg999i,p0p100,2020,1.95953321456909
AI,wwealg999i,p0p100,2021,1.93973731994629
AL,wwealg999i,p0p100,1995,-0.438059687614441
AL,wwealg999i,p0p100,1996,-0.411046147346497
AL,wwealg999i,p0p100,1997,-0.387219548225403
AL,wwealg999i,p0p100,1998,-0.363975882530212
AL,wwealg999i,p0p100,1999,-0.340417236089706
AL,wwealg999i,p0p100,2000,-0.315706014633179
AL,wwealg999i,p0p100,2001,-0.289116263389587
AL,wwealg999i,p0p100,2002,-0.260768920183182
AL,wwealg999i,p0p100,2003,-0.230465456843376
AL,wwealg999i,p0p100,2004,-0.195609241724014
AL,wwealg999i,p0p100,2005,-0.155645042657852
AL,wwealg999i,p0p100,2006,-0.112621828913689
AL,wwealg999i,p0p100,2007,-0.0723349377512932
AL,wwealg999i,p0p100,2008,-0.0278679076582193
AL,wwealg999i,p0p100,2009,-0.0074447919614613
AL,wwealg999i,p0p100,2010,-0.0049147997051477
AL,wwealg999i,p0p100,2011,-0.0209289342164993
AL,wwealg999i,p0p100,2012,-0.0443896390497684
AL,wwealg999i,p0p100,2013,-0.0465957745909691
AL,wwealg999i,p0p100,2014,-0.0158798117190599
AL,wwealg999i,p0p100,2015,-0.048348143696785
AL,wwealg999i,p0p100,2016,-0.057417057454586
AL,wwealg999i,p0p100,2017,-0.067505955696106
AL,wwealg999i,p0p100,2018,-0.0521362572908401
AL,wwealg999i,p0p100,2019,-0.0586108155548573
AL,wwealg999i,p0p100,2020,-0.0670638531446457
AL,wwealg999i,p0p100,2021,-0.0749058276414871
AM,wwealg999i,p0p100,1995,0.0035557949449867
AM,wwealg999i,p0p100,1996,0.0236868392676115
AM,wwealg999i,p0p100,1997,0.0440998449921608
AM,wwealg999i,p0p100,1998,0.0192092768847942
AM,wwealg999i,p0p100,1999,-0.0051576779223979
AM,wwealg999i,p0p100,2000,-0.0102331740781665
AM,wwealg999i,p0p100,2001,0.0143648721277714
AM,wwealg999i,p0p100,2002,0.0499218180775642
AM,wwealg999i,p0p100,2003,0.100397169589996
AM,wwealg999i,p0p100,2004,0.156959027051926
AM,wwealg999i,p0p100,2005,0.242986664175987
AM,wwealg999i,p0p100,2006,0.28067335486412
AM,wwealg999i,p0p100,2007,0.307633250951767
AM,wwealg999i,p0p100,2008,0.298842042684555
AM,wwealg999i,p0p100,2009,0.236257538199425
AM,wwealg999i,p0p100,2010,0.194841727614403
AM,wwealg999i,p0p100,2011,0.186001971364021
AM,wwealg999i,p0p100,2012,0.175916135311127
AM,wwealg999i,p0p100,2013,0.155493035912514
AM,wwealg999i,p0p100,2014,0.124431952834129
AM,wwealg999i,p0p100,2015,0.0925205498933792
AM,wwealg999i,p0p100,2016,0.0490021556615829
AM,wwealg999i,p0p100,2017,0.028791680932045
AM,wwealg999i,p0p100,2018,-0.0077567673288286
AM,wwealg999i,p0p100,2019,-0.0333295129239559
AM,wwealg999i,p0p100,2020,-0.0859529301524162
AM,wwealg999i,p0p100,2021,-0.103029362857342
AO,wwealg999i,p0p100,1995,-0.850145280361176
AO,wwealg999i,p0p100,1996,-0.340912461280823
AO,wwealg999i,p0p100,1997,-0.410710513591766
AO,wwealg999i,p0p100,1998,-0.729744911193848
AO,wwealg999i,p0p100,1999,-0.719416618347168
AO,wwealg999i,p0p100,2000,-0.589148342609406
AO,wwealg999i,p0p100,2001,-0.699747502803802
AO,wwealg999i,p0p100,2002,-0.254509061574936
AO,wwealg999i,p0p100,2003,-0.179306671023369
AO,wwealg999i,p0p100,2004,-0.153072789311409
AO,wwealg999i,p0p100,2005,0.004634671844542
AO,wwealg999i,p0p100,2006,0.093047171831131
AO,wwealg999i,p0p100,2007,0.125504016876221
AO,wwealg999i,p0p100,2008,0.0532699674367905
AO,wwealg999i,p0p100,2009,-0.256495982408524
AO,wwealg999i,p0p100,2010,-0.203734114766121
AO,wwealg999i,p0p100,2011,-0.0594060756266117
